"","meta_c_group_1"
"1","Arterial EC"
"2","Arterial EC"
"3","Arterial EC"
"4","Arterial EC"
"5","Arterial EC"
"6","Arterial EC"
"7","Arterial EC"
"8","Arterial EC"
"9","Arterial EC"
"10","Arterial EC"
"11","Arterial EC"
"12","Arterial EC"
"13","Arterial EC"
"14","Arterial EC"
"15","Arterial EC"
"16","Arterial EC"
"17","Arterial EC"
"18","Arterial EC"
"19","Arterial EC"
"20","Arterial EC"
"21","Arterial EC"
"22","Arterial EC"
"23","Arterial EC"
"24","Arterial EC"
"25","Arterial EC"
"26","Arterial EC"
"27","Arterial EC"
"28","Arterial EC"
"29","Arterial EC"
"30","Arterial EC"
"31","Arterial EC"
"32","Arterial EC"
"33","Arterial EC"
"34","Arterial EC"
"35","Arterial EC"
"36","Arterial EC"
"37","Arterial EC"
"38","Arterial EC"
"39","Arterial EC"
"40","Arterial EC"
"41","Arterial EC"
"42","Arterial EC"
"43","Arterial EC"
"44","Arterial EC"
"45","Arterial EC"
"46","Arterial EC"
"47","Arterial EC"
"48","Arterial EC"
"49","Arterial EC"
"50","Arterial EC"
"51","Arterial EC"
"52","Arterial EC"
"53","Arterial EC"
"54","Arterial EC"
"55","Arterial EC"
"56","Arterial EC"
"57","Arterial EC"
"58","Arterial EC"
"59","Arterial EC"
"60","Arterial EC"
"61","Arterial EC"
"62","Arterial EC"
"63","Arterial EC"
"64","Arterial EC"
"65","Arterial EC"
"66","Arterial EC"
"67","Arterial EC"
"68","Arterial EC"
"69","Arterial EC"
"70","Arterial EC"
"71","Arterial EC"
"72","Arterial EC"
"73","Arterial EC"
"74","Arterial EC"
"75","Arterial EC"
"76","Arterial EC"
"77","Arterial EC"
"78","Arterial EC"
"79","Arterial EC"
"80","Arterial EC"
"81","Arterial EC"
"82","Arterial EC"
"83","Arterial EC"
"84","Arterial EC"
"85","Arterial EC"
"86","Arterial EC"
"87","Arterial EC"
"88","Arterial EC"
"89","Arterial EC"
"90","Arterial EC"
"91","Arterial EC"
"92","Arterial EC"
"93","Arterial EC"
"94","Arterial EC"
"95","Arterial EC"
"96","Arterial EC"
"97","Arterial EC"
"98","Arterial EC"
"99","Arterial EC"
"100","Arterial EC"
"101","Arterial EC"
"102","Arterial EC"
"103","Arterial EC"
"104","Arterial EC"
"105","Arterial EC"
"106","Arterial EC"
"107","Arterial EC"
"108","Arterial EC"
"109","Arterial EC"
"110","Arterial EC"
"111","Arterial EC"
"112","Arterial EC"
"113","Arterial EC"
"114","Arterial EC"
